grade,subject,topicId,topic,exerciseId,type,difficulty,question,answer,lp21,richType
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc1","multiple-choice","1","Was ist eine digitale Spur?","Eine Information, die bei der Nutzung von Geräten entsteht","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc2","multiple-choice","1","Welche Angabe ist privat?","Wohnadresse","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc3","multiple-choice","1","Was ist beim Profilbild wichtig?","Es sollte nicht zu viel Privates zeigen","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc4","multiple-choice","2","Was machst du, wenn dich online jemand nach deiner Adresse fragt?","Ich frage eine erwachsene Vertrauensperson","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc5","multiple-choice","2","Warum meldet man gemeine Nachrichten?","Damit jemand helfen und stoppen kann","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc6","multiple-choice","2","Was ist ein fairer Kommentar?","Er bleibt freundlich und respektvoll","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc7","multiple-choice","3","Bedingung: Ein Foto zeigt ein Strassenschild. Was prüfst du vor dem Teilen?","Ob es zu viel über den Ort verrät","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc8","multiple-choice","3","Bedingung: Jemand schickt ein Geheimnis weiter. Was ist daran problematisch?","Andere haben nicht zugestimmt","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc9","multiple-choice","3","Bedingung: Eine Nachricht betrifft eine andere Person. Welche Regel passt?","Erst fragen, wenn sie eine andere Person betrifft","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-fb1","fill-in-blank","1","Meine Adresse ist eine ___ Angabe.","private","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-fb2","fill-in-blank","1","Vor dem Teilen eines Fotos frage ich um ___.","Erlaubnis","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-fb3","fill-in-blank","1","Wenn mir etwas online Angst macht, hole ich ___.","Hilfe","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-fb4","fill-in-blank","2","Ein respektvoller Chat braucht freundliche ___.","Worte","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-fb5","fill-in-blank","2","Digitale Spuren können länger ___ bleiben.","sichtbar","MI.1.1, MI.1.4","false"
