grade,subject,topicId,topic,exerciseId,type,difficulty,question,answer,lp21,richType
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-mc1","multiple-choice","1","Was macht ein Passwort stärker?","Es ist lang und schwer zu erraten","MI.1.4, MI.2.3","false"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-mc2","multiple-choice","2","Warum nutzt man nicht überall dasselbe Passwort?","Ein einzelnes bekanntes Passwort wäre sonst besonders gefährlich","MI.1.4, MI.2.3","false"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-mc3","multiple-choice","2","Was ist Phishing?","Ein Trick, um an Daten oder Passwörter zu kommen","MI.1.4, MI.2.3","false"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-mc4","multiple-choice","2","Was prüfst du bei einem verdächtigen Link?","Absender, Adresse und Zweck","MI.1.4, MI.2.3","false"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-mc5","multiple-choice","1","Was gehört nicht in einen öffentlichen Chat?","Passwort","MI.1.4, MI.2.3","false"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-mc6","multiple-choice","3","Wofür ist ein Update wichtig?","Es kann Sicherheitslücken schliessen","MI.1.4, MI.2.3","false"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-fb1","fill-in-blank","1","Ein starkes Passwort ist schwer zu ___.","erraten","MI.1.4, MI.2.3","false"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-fb2","fill-in-blank","2","Eine verdächtige Nachricht kann ___ sein.","Phishing","MI.1.4, MI.2.3","false"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-fb3","fill-in-blank","1","Passwörter gehören nicht in den ___.","Chat","MI.1.4, MI.2.3","false"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-fb4","fill-in-blank","3","Updates können Sicherheitslücken ___.","schliessen","MI.1.4, MI.2.3","false"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-fb5","fill-in-blank","1","Bei Unsicherheit frage ich eine ___ Person.","erwachsene","MI.1.4, MI.2.3","false"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-ma1","matching","2","Ordne Sicherheitsbegriffe.","richtig zugeordnet","MI.1.4, MI.2.3","true"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-me1","memory","2","Ordne Sicherheitsbegriffe.","alle Paare gefunden","MI.1.4, MI.2.3","true"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-ma2","matching","2","Ordne Risiko und gute Reaktion.","richtig zugeordnet","MI.1.4, MI.2.3","true"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-me2","memory","2","Ordne Risiko und gute Reaktion.","alle Paare gefunden","MI.1.4, MI.2.3","true"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-dd1","drag-drop","2","Sortiere starke und schwache Passwörter.","richtig sortiert","MI.1.4, MI.2.3","true"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-dd2","drag-drop","2","Sortiere sichere und riskante Klicks.","richtig sortiert","MI.1.4, MI.2.3","true"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-ws1","word-search","3","Finde die MI-Wörter.","PASSWORT, DATEN, UPDATE, LINK","MI.1.4, MI.2.3","true"
"5","Medien & Informatik","sicher-online-5","Sicher online","mi5-sicher-online-5-sr1","self-review","3","Formuliere drei Regeln für ein sicheres Passwort.","eigene begründete Antwort","MI.1.4, MI.2.3","true"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-mc1","multiple-choice","1","Was sind Daten?","Gesammelte Informationen, die man ordnen und auswerten kann","MI.2.1, MI.2.3","false"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-mc2","multiple-choice","1","Warum ordnet man Daten?","Damit man Muster leichter erkennt","MI.2.1, MI.2.3","false"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-mc3","multiple-choice","2","Welche Darstellung passt zu Häufigkeiten?","Ein Säulendiagramm","MI.2.1, MI.2.3","false"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-mc4","multiple-choice","2","Was bedeutet auswerten?","Daten anschauen und Schlüsse ziehen","MI.2.1, MI.2.3","false"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-mc5","multiple-choice","2","Warum achtet man auf Datenschutz?","Weil Daten etwas über Menschen verraten können","MI.2.1, MI.2.3","false"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-mc6","multiple-choice","3","Was ist ein Datenfehler?","Ein Wert passt nicht zur Beobachtung","MI.2.1, MI.2.3","false"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-fb1","fill-in-blank","2","Daten kann man sammeln, ordnen und ___.","auswerten","MI.2.1, MI.2.3","false"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-fb2","fill-in-blank","1","Ein Diagramm macht Daten ___.","sichtbar","MI.2.1, MI.2.3","false"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-fb3","fill-in-blank","2","Persönliche Daten brauchen besonderen ___.","Schutz","MI.2.1, MI.2.3","false"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-fb4","fill-in-blank","3","Ein Fehler in einer Tabelle kann ein Ergebnis ___.","verändern","MI.2.1, MI.2.3","false"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-fb5","fill-in-blank","2","Gleiche Kategorien helfen beim ___.","Vergleichen","MI.2.1, MI.2.3","false"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-ma1","matching","1","Ordne Datenwörter.","richtig zugeordnet","MI.2.1, MI.2.3","true"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-me1","memory","1","Ordne Datenwörter.","alle Paare gefunden","MI.2.1, MI.2.3","true"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-ma2","matching","2","Ordne Beispiel und Datentyp.","richtig zugeordnet","MI.2.1, MI.2.3","true"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-me2","memory","2","Ordne Beispiel und Datentyp.","alle Paare gefunden","MI.2.1, MI.2.3","true"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-dd1","drag-drop","2","Sortiere persönliche und unpersönliche Daten.","richtig sortiert","MI.2.1, MI.2.3","true"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-dd2","drag-drop","2","Sortiere gute und schlechte Tabellen-Arbeit.","richtig sortiert","MI.2.1, MI.2.3","true"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-ws1","word-search","3","Finde die MI-Wörter.","DATEN, TABELLE, MUSTER, SCHUTZ","MI.2.1, MI.2.3","true"
"5","Medien & Informatik","daten-diagramme-5","Daten verstehen","mi5-daten-diagramme-5-sr1","self-review","3","Du machst eine Klassenumfrage. Welche Daten darfst du ohne Namen sammeln?","eigene begründete Antwort","MI.2.1, MI.2.3","true"
