grade,subject,topicId,topic,exerciseId,type,difficulty,question,answer,lp21,richType
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc1","multiple-choice","1","Was ist eine digitale Spur?","Eine Information, die bei der Nutzung von Geräten entsteht","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc2","multiple-choice","1","Welche Angabe ist privat?","Wohnadresse","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc3","multiple-choice","1","Was ist beim Profilbild wichtig?","Es sollte nicht zu viel Privates zeigen","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc4","multiple-choice","2","Was machst du, wenn dich online jemand nach deiner Adresse fragt?","Ich frage eine erwachsene Vertrauensperson","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc5","multiple-choice","2","Warum meldet man gemeine Nachrichten?","Damit jemand helfen und stoppen kann","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-mc6","multiple-choice","2","Was ist ein fairer Kommentar?","Er bleibt freundlich und respektvoll","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-fb1","fill-in-blank","1","Meine Adresse ist eine ___ Angabe.","private","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-fb2","fill-in-blank","1","Vor dem Teilen eines Fotos frage ich um ___.","Erlaubnis","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-fb3","fill-in-blank","1","Wenn mir etwas online Angst macht, hole ich ___.","Hilfe","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-fb4","fill-in-blank","2","Ein respektvoller Chat braucht freundliche ___.","Worte","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-fb5","fill-in-blank","2","Digitale Spuren können länger ___ bleiben.","sichtbar","MI.1.1, MI.1.4","false"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-ma1","matching","1","Ordne private und eher harmlose Angaben.","richtig zugeordnet","MI.1.1, MI.1.4","true"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-me1","memory","1","Ordne private und eher harmlose Angaben.","alle Paare gefunden","MI.1.1, MI.1.4","true"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-ma2","matching","2","Ordne die Situation zur guten Reaktion.","richtig zugeordnet","MI.1.1, MI.1.4","true"
"3","Medien & Informatik","digitale-spuren-3","Digitale Spuren","mi3-digitale-spuren-3-me2","memory","2","Ordne die Situation zur guten Reaktion.","alle Paare gefunden","MI.1.1, MI.1.4","true"
